TS,rh,pa_hpa,t_a,pw_hpa,dw_ir,lw_s,esky_c,lw_c,zen,cs_period,w,q,he,tau,esky_t,lw_c_t,site
2012-08-21 22:52:00+00:00,17.5,896.1,309.35,10.503638779056995,406.9,420.79323010555794,0.7994921794764798,415.1210737753272,48.23,True,0.0073770100396426215,0.007322988281569299,2914.0558327116373,1.5534361717989464,0.788480095074016,409.4032588685589,DRA
2012-08-22 23:54:00+00:00,54.5,902.3,298.15,17.23146139454697,372.4,385.99980885653,0.8504604545579727,381.02498853628185,60.58,True,0.012109372201917167,0.011964489742420181,2950.4477808452793,1.8121160985796694,0.8366918053308221,374.8563308569993,DRA
2012-08-23 13:42:00+00:00,96.4,903.8,290.95,19.60752450438317,340.3,353.419669573913,0.8659701531348998,351.8329012503238,84.21,True,0.013792797868360395,0.0136051448554001,2959.2824319480505,1.8978744105929874,0.8501131211799375,345.3903864156764,DRA
2012-08-24 01:36:00+00:00,25.0,898.3,304.25,11.2798099798649,380.9,394.5111141782908,0.8060783988044782,391.6153537352213,81.19,True,0.007909421104740709,0.007847353084636731,2926.9461257314642,1.585732613278194,0.7952022993711886,386.3314414840753,DRA
2012-08-24 01:37:00+00:00,25.1,898.3,304.25,11.32492921978436,380.9,394.5111141782908,0.8064541801957276,391.79791880913905,81.38,True,0.007941462740238487,0.007878892806580693,2926.9461257314642,1.5875267700627997,0.7955694091305336,386.50979363751196,DRA
2012-08-24 13:49:00+00:00,73.0,901.6,295.65,19.856608912641192,354.7,367.9530166008861,0.8675402283200903,375.8038590685108,83.0,True,0.014006811660084164,0.013813330935275347,2946.3289616977504,1.9050786632227497,0.8511890637861085,368.72080916310944,DRA
2012-08-26 01:32:00+00:00,20.1,894.8,307.25,10.740292881204825,427.4,441.641172670385,0.801525361940682,404.99057360288407,80.91,True,0.007556330542450705,0.007499660627790914,2906.45072913457,1.5623591519068292,0.7903590874054627,399.3485363776659,DRA
2012-08-26 01:37:00+00:00,20.1,894.8,307.25,10.740292881204825,426.1,440.2301092691037,0.801525361940682,404.99057360288407,81.89,True,0.007556330542450705,0.007499660627790914,2906.45072913457,1.5623591519068292,0.7903590874054627,399.3485363776659,DRA
2012-08-26 01:42:00+00:00,20.2,894.8,307.25,10.793727174146143,428.7,442.87956281147706,0.8019813262755824,405.2209608947929,82.87,True,0.0075943832460767515,0.0075371432913417065,2906.45072913457,1.5645103794160058,0.7908095879653515,399.5761629617032,DRA
2012-08-26 01:48:00+00:00,20.3,894.9,307.15,10.78681242650772,430.2,444.431537851932,0.801922385177901,404.6639300925269,84.05,True,0.007588600291613191,0.007531447149577637,2907.0354234995666,1.564282428255866,0.790761897332877,399.0321545534074,DRA
2012-08-29 20:34:00+00:00,13.8,898.4,310.04999999999995,8.60676069915267,404.8,418.7113935454523,0.7822887748829566,409.877540041915,29.76,True,0.006016266232664642,0.005980287232525961,2927.5326489000495,1.4749828044660398,0.7712173389485837,404.0766988804253,DRA
2012-08-30 00:27:00+00:00,13.6,895.9,309.85,8.389737410952357,401.9,415.7984313480313,0.7802042432267005,407.7316170795654,68.99,True,0.0058796490528925886,0.005845280852862167,2912.8852418816464,1.464382408314225,0.7687792525984694,401.76096267155805,DRA
2012-09-01 14:34:00+00:00,15.5,901.1,300.85,5.747417389771908,356.2,369.5531495428801,0.7522531226241114,349.40099888891694,75.25,True,0.003992593239267543,0.003976715830528089,2943.388513801002,1.341599681356501,0.7385728662035852,343.04689398109747,DRA
2012-09-10 15:32:00+00:00,41.2,902.0,300.54999999999995,15.0112169570552,385.0,398.7387936240244,0.8349681459968838,386.2752803867414,65.17,True,0.01052626245274304,0.010416614435327749,2948.68225950402,1.7307307574405333,0.8228450946078183,380.66688071675964,DRA
2012-09-10 15:35:00+00:00,42.2,902.0,300.25,15.10747392419572,382.9,396.514177015539,0.8356626707230199,385.05533642291573,64.58,True,0.010594910155515409,0.010483834867014135,2948.68225950402,1.7343009306940476,0.823476440634827,379.44018441154685,DRA
2012-09-10 15:37:00+00:00,41.9,902.0,300.35,15.088349583211995,382.6,396.24935489777135,0.8355248590229467,385.5049870896691,64.19,True,0.010581270038967297,0.010470479072464196,2948.68225950402,1.733592003824966,0.8233512539717155,379.88817580341066,DRA
2012-09-10 15:50:00+00:00,39.6,902.0,301.04999999999995,14.856223243165003,375.8,389.4574607240032,0.8338451206086565,388.32915491690073,61.69,True,0.010415756695677656,0.010308387044299358,2948.68225950402,1.7249715049885064,0.8218218711116075,382.7298197392409,DRA
2012-09-10 18:32:00+00:00,33.2,901.1,304.04999999999995,14.80967175385042,395.8,409.6152788539189,0.8335066834696199,403.8770703456183,35.77,True,0.010393117631880128,0.010286211822423248,2943.388513801002,1.7227037944109074,0.821417356196006,398.0191664096932,DRA
2012-09-10 18:38:00+00:00,32.7,901.0,304.35,14.83829600860503,398.6,412.5524331753518,0.8337148494725974,405.5746863299256,35.18,True,0.01041471698659839,0.010307368659136945,2942.80058081471,1.7237089548904274,0.8215967702268334,399.67964176866946,DRA
2012-09-10 18:45:00+00:00,33.5,900.9,303.95,14.858406282594235,402.5,416.4235156181127,0.8338609786464787,403.51745119352825,34.55,True,0.0104302457189109,0.01032257868675525,2942.2127000288087,1.7243970552671786,0.8217194873307692,397.64200701894174,DRA
2012-09-12 18:40:00+00:00,33.3,906.1,300.45,12.06197364949638,353.3,366.56381575469527,0.812489972401717,375.37636360359954,35.64,True,0.008391484645388575,0.008321653616838632,2972.8516930477626,1.6206952118993014,0.8022388346337667,370.64026229916374,DRA
2012-09-18 17:40:00+00:00,13.9,905.5,302.45,5.656200257059885,343.7,356.9193324194667,0.7511834974992765,356.38586739326405,44.49,True,0.00390961568762391,0.003894390118921248,2969.3092260202884,1.3385655988513052,0.7377784701884355,350.026086725147,DRA
2012-09-18 17:49:00+00:00,13.7,905.4,302.65,5.6395354897364465,343.7,356.86367559273026,0.7509871546271049,357.23606864807675,43.25,True,0.003898457892140762,0.0038833189367839566,2968.718997361734,1.3376541330956886,0.737539355287659,350.83910308296373,DRA
2012-09-24 20:48:00+00:00,17.3,897.8,303.35,7.414055720365496,359.7,373.1557449834101,0.7704810766589291,369.9116878062574,41.01,True,0.005179096106109102,0.005152411272948303,2924.0142933877723,1.4213954778100262,0.7586230544074528,364.2185940263183,DRA
2012-09-26 19:49:00+00:00,18.9,900.2,301.25,7.173642732966311,354.1,367.3844121268487,0.7679884782594395,358.61050432589036,38.37,True,0.004996338877057573,0.004971499580426612,2938.098996235763,1.4112550185827684,0.7561629290126071,353.08859052199,DRA
2012-09-26 19:53:00+00:00,18.4,900.2,301.65,7.148300447595616,354.1,367.35064261253865,0.7677233121583271,360.3944768304399,38.46,True,0.004978547059060407,0.004953883914865128,2938.098996235763,1.4100689969633295,0.7558735614105992,354.83181557779085,DRA
2012-09-26 21:45:00+00:00,14.4,899.3,303.04999999999995,6.065809957950125,360.5,373.9187004931012,0.7559216445237352,361.4881073303927,48.65,True,0.004223766308663364,0.00420600114274245,2932.8137076534067,1.357161039900452,0.7426095380583572,355.12214571835017,DRA
2012-09-26 23:47:00+00:00,15.2,898.9,302.25,6.114112239663817,356.3,369.6900972999678,0.7564696933757915,357.94545416564006,69.57,True,0.004259538129983253,0.004241471420739379,2930.466048178249,1.3594324730018494,0.7431935197848001,351.66344970832654,DRA
2012-09-26 23:56:00+00:00,15.2,899.0,302.25,6.114112239663817,360.7,374.0782511229065,0.7564696933757915,357.94545416564006,71.29,True,0.004259061077071075,0.004240998405832872,2931.0528847128076,1.3594724140255157,0.743203776693667,351.66830306059546,DRA
2012-09-27 00:30:00+00:00,15.0,898.8,302.35,6.0686498340429935,355.0,368.2595574446861,0.7559539266550932,358.17502406735235,77.89,True,0.004228123973775956,0.004210322209504628,2929.879263868447,1.357104997050629,0.742595112759139,351.84554641007475,DRA
2012-09-27 00:54:00+00:00,15.1,899.0,302.04999999999995,6.003979825573253,351.5,364.7517000059586,0.7552169112500268,356.40775597212547,82.6,True,0.004181827564226579,0.004164412708373886,2931.0528847128076,1.3539162962109714,0.7417730155646325,350.0632096287129,DRA
2012-09-28 22:48:00+00:00,13.5,899.6,304.15,6.056465315816829,359.9,373.3552446210704,0.7558153664523719,366.7136537509941,59.44,True,0.004215799399704874,0.004198101047827542,2934.5750005749965,1.3568090739480143,0.7425189294346317,360.26236257980213,DRA
